,magnitude,jumlahinf,kluster
613,4.7,2,1
614,4.6,1,1
615,4.8,3,1
616,4.5,0,1
617,4.5,58,0
618,4.6,1,1
619,4.7,1,1
620,4.6,1,1
621,5.1,6,1
622,4.9,2,1
623,4.8,4,1
624,4.9,1,1
625,6.2,240,2
626,4.8,6,1
627,4.9,12,1
628,4.5,104,0
629,4.5,83,0
630,4.5,4,1
631,4.6,1,1
632,4.5,0,1
633,4.7,0,1
634,4.8,2,1
635,4.5,1,1
636,4.6,0,1
637,4.5,33,1
638,4.8,0,1
639,5.1,40,1
640,4.5,0,1
641,4.6,0,1
642,4.5,11,1
643,4.7,0,1
644,5.1,210,2
645,4.5,49,1
646,4.5,24,1
647,4.8,0,1
648,4.6,0,1
649,4.8,41,1
650,4.5,1,1
651,4.7,91,0
652,4.7,157,0
653,5.2,247,2
654,5.1,191,0
655,5.5,31,1
656,4.5,16,1
657,5.0,1,1
658,5.2,0,1
659,4.8,16,1
660,5.8,478,2
661,5.0,53,0
662,4.9,2,1
663,4.5,0,1
664,4.6,0,1
665,4.6,1,1
666,4.8,68,0
667,5.0,3,1
668,4.8,0,1
669,4.6,0,1
670,4.5,0,1
671,4.9,0,1
672,4.6,0,1
673,4.5,0,1
674,4.7,0,1
675,4.7,0,1
676,4.7,0,1
677,6.7,76,0
678,4.8,19,1
679,5.5,4,1
680,5.2,0,1
681,4.6,0,1
682,4.9,7,1
683,4.7,33,1
684,4.8,11,1
685,5.1,0,1
686,4.6,0,1
687,4.5,13,1
688,4.5,10,1
689,4.6,0,1
690,4.8,29,1
691,4.5,0,1
692,4.6,24,1
693,4.6,0,1
694,4.9,13,1
695,5.0,0,1
696,4.5,20,1
697,5.0,105,0
698,4.5,50,1
699,5.7,170,0
700,5.2,83,0
701,4.5,1,1
702,4.5,196,0
703,4.5,44,1
704,4.6,1,1
705,4.9,61,0
706,4.9,63,0
707,5.5,66,0
708,4.6,0,1
709,4.6,31,1
710,4.9,0,1
711,4.6,43,1
712,4.8,0,1
713,4.6,44,1
714,4.5,0,1
715,4.5,6,1
716,4.5,33,1
717,5.0,5,1
718,4.7,25,1
719,4.6,3,1
720,4.7,37,1
721,4.9,0,1
722,4.7,1,1
723,4.6,3,1
724,4.5,0,1
725,5.0,261,2
726,4.5,0,1
727,4.9,32,1
728,4.5,60,0
729,5.0,75,0
730,4.6,0,1
731,4.7,3,1
732,4.8,3,1
733,4.5,0,1
734,5.0,19,1
735,4.5,37,1
736,4.6,33,1
737,4.5,0,1
738,4.6,1,1
739,4.7,0,1
740,6.1,23,1
741,4.8,0,1
742,4.8,1,1
743,5.2,13,1
744,4.8,16,1
745,4.5,22,1
746,4.6,0,1
747,4.7,1,1
748,4.5,0,1
749,4.5,0,1
750,5.0,121,0
751,5.4,58,0
752,4.5,0,1
753,4.5,0,1
754,5.4,0,1
755,5.4,0,1
756,5.6,23,1
757,5.0,239,2
758,5.1,13,1
759,5.0,0,1
760,5.2,5,1
761,4.5,1,1
762,4.5,10,1
763,5.1,24,1
764,4.9,151,0
765,4.5,0,1
766,5.0,40,1
767,5.1,231,2
768,6.1,47,1
769,6.0,502,2
770,4.5,24,1
771,4.8,0,1
772,5.0,0,1
773,4.6,0,1
774,4.6,0,1
775,4.6,0,1
776,5.1,0,1
777,4.6,19,1
778,4.6,29,1
779,4.5,0,1
780,4.6,28,1
781,5.9,71,0
782,4.6,18,1
783,5.4,58,0
784,4.7,1,1
785,4.5,0,1
786,4.8,0,1
787,4.5,12,1
788,5.2,132,0
789,4.7,5,1
790,4.6,6,1
791,5.2,69,0
792,4.9,115,0
793,4.5,0,1
794,4.7,24,1
795,4.5,13,1
796,4.7,0,1
797,4.9,54,0
798,4.9,64,0
799,4.8,24,1
800,4.5,0,1
801,4.5,0,1
802,4.6,1,1
803,4.6,17,1
804,4.9,4,1
805,5.4,94,0
806,4.5,0,1
807,4.7,27,1
808,4.6,65,0
809,4.6,23,1
810,5.2,6,1
811,4.8,25,1
812,4.5,0,1
813,5.0,0,1
814,5.0,39,1
815,4.5,0,1
816,5.1,0,1
817,4.5,0,1
818,4.6,0,1
819,4.6,74,0
820,4.5,0,1
821,4.6,0,1
822,4.7,59,0
823,4.5,1,1
824,5.1,31,1
825,5.2,19,1
826,5.5,33,1
827,4.5,0,1
828,4.6,122,0
829,4.9,0,1
830,4.9,56,0
831,4.5,8,1
832,4.6,0,1
833,4.5,0,1
834,5.0,0,1
835,4.8,13,1
836,4.5,9,1
837,4.7,112,0
838,4.7,0,1
839,5.1,0,1
840,4.7,19,1
841,4.6,50,1
842,5.6,109,0
843,4.5,81,0
844,4.7,2,1
845,4.6,80,0
846,4.7,0,1
847,4.6,4,1
848,4.5,6,1
849,4.8,1,1
850,4.7,0,1
851,4.6,22,1
852,4.5,32,1
853,4.5,0,1
854,4.5,2,1
855,4.6,1,1
856,4.5,1,1
857,4.5,12,1
858,4.5,0,1
859,5.0,42,1
860,4.9,268,2
861,5.1,13,1
862,4.5,0,1
863,4.5,0,1
864,4.6,25,1
865,5.8,158,0
866,4.9,92,0
867,5.0,15,1
868,4.6,6,1
869,5.1,20,1
870,4.5,1,1
